iter	Passed	Remaining
547	394814	325650
548	395521	324918
549	396209	324171
550	396891	323420
551	397574	322669
552	398254	321916
553	398945	321172
554	399630	320424
555	400563	319874
556	401273	319145
557	401979	318414
558	402730	317717
559	403431	316981
560	404163	316270
561	404854	315527
562	405569	314802
563	406261	314060
564	406951	313316
565	407655	312583
566	408336	311833
567	409025	311089
568	409717	310348
569	410434	309626
570	411181	308926
571	411906	308209
572	412600	307470
573	413290	306727
574	413984	305988
575	414683	305252
576	415375	304512
577	416063	303769
578	416758	303031
579	417442	302286
580	418155	301561
581	418858	300829
582	419590	300119
583	420308	299397
584	421003	298660
585	421700	297925
586	422414	297201
587	423103	296460
588	423793	295720
589	424483	294980
590	425217	294270
591	425928	293545
592	426634	292816
593	427346	292092
594	428059	291368
595	428748	290628
596	429437	289888
597	430127	289149
598	430818	288410
599	431503	287668
600	432198	286933
601	432893	286199
602	433619	285483
603	434330	284760
604	435040	284034
605	435740	283303
606	436462	282586
607	437154	281849
608	437837	281107
609	438522	280366
610	439268	279665
611	439992	278949
612	440693	278218
613	441379	277479
614	442094	276758
615	442809	276036
616	443508	275305
617	444365	274672
618	445131	273982
619	445865	273272
620	446553	272534
621	447246	271799
622	447943	271066
623	448644	270337
624	449331	269598
625	450028	268866
626	450722	268133
627	451413	267397
628	452125	266675
629	452869	265970
630	453602	265260
631	454309	264534
632	455005	263802
633	455692	263065
634	456442	262364
635	457145	261636
636	457844	260906
637	458538	260174
638	459357	259511
639	460320	258930
640	461084	258236
641	461777	257502
642	462468	256766
643	463164	256034
644	463861	255303
645	464548	254566
646	465244	253835
647	465941	253104
648	466640	252374
649	467356	251653
650	468069	250931
651	468793	250214
652	469481	249479
653	470169	248743
654	470868	248014
655	471547	247275
656	472263	246554
657	472953	245820
658	473691	245112
659	474382	244379
660	475103	243661
661	475821	242942
662	476542	242224
663	477257	241503
664	477948	240771
665	478638	240037
666	479330	239305
667	480020	238573
668	480715	237842
669	481394	237104
670	482090	236375
671	482790	235647
672	483509	234929
673	484223	234209
674	484924	233482
675	485620	232752
676	486463	232094
677	487154	231362
678	487843	230630
679	488527	229895
680	489222	229166
681	489916	228436
682	490604	227703
683	491289	226970
684	491974	226236
685	492675	225510
686	493386	224789
687	494104	224070
688	494798	223341
689	495491	222612
690	496185	221883
691	496884	221156
692	497570	220424
693	498260	219693
694	498957	218966
695	499643	218235
696	500352	217513
697	501081	216800
698	501797	216081
699	502488	215352
700	503181	214623
701	503895	213904
702	504584	213174
703	505303	212457
704	505986	211724
705	506712	211010
706	507404	210282
707	508124	209565
708	508844	208848
709	509545	208124
710	510241	207397
711	510928	206667
712	511615	205937
713	512295	205205
714	513584	204715
715	514442	204052
716	515232	203362
717	515888	202619
718	516549	201878
719	517195	201131
720	517840	200384
721	518624	199692
722	519314	198962
723	519967	198219
724	520614	197474
725	521318	196751
726	521958	196003
727	522593	195254
728	523226	194505
729	523886	193766
730	524520	193017
731	525159	192271
732	525795	191524
733	526444	190782
734	527094	190040
735	527738	189297
736	528365	188548
737	529010	187805
738	529672	187069
739	530483	186386
740	531137	185647
741	531774	184902
742	532413	184159
743	533056	183417
744	533724	182684
745	534357	181939
746	534992	181195
747	535630	180453
748	536269	179711
749	536908	178969
750	537542	178226
751	538179	177484
752	538816	176743
